old_slug,new_slug,title_ar,title_en
geotech-encyclopedia-01,polyurethane-grouting-fast-effective-leak-stopping,حقن البولي يوريثان (Polyurethane Grouting): السرعة والكفاءة في منع التسرب,"Polyurethane Grouting: Fast, Effective Leak Stopping"
geotech-encyclopedia-02,microfine-cement-grouting-penetration-in-low-permeability-soils,الملاط الدقيق (Microfine Cement): اختراق التربة ذات النفاذية المنخفضة,Microfine Cement Grouting: Penetration in Low-Permeability Soils
geotech-encyclopedia-03,under-raft-grouting-improving-soil-foundation-interaction,الحقن أسفل اللبشة (Under-Raft Grouting): تحسين تفاعل التربة والأساس,Under‑Raft Grouting: Improving Soil–Foundation Interaction
geotech-encyclopedia-04,grouting-in-fractured-rock-and-karst-formations-techniques-and-risks,تقنيات الحقن في الصخور المتشققة والطبقات الكارستية,Grouting in Fractured Rock and Karst Formations: Techniques and Risks
geotech-encyclopedia-05,cement-grout-rheology-viscosity-yield-stress-and-consistency,رولوجيا الملاط الإسمنتي: اللزوجة، الإجهاد الخاضع، والاتساق,"Cement Grout Rheology: Viscosity, Yield Stress, and Consistency"
geotech-encyclopedia-06,how-the-water-to-cement-ratio-affects-strength-and-durability,تأثير نسبة الماء إلى الإسمنت (W/C Ratio) على قوة وديمومة الحقن,How the Water‑to‑Cement Ratio Affects Strength and Durability
geotech-encyclopedia-07,chemical-admixtures-for-grout-superplasticizers-accelerators-and-anti-bleed,الإضافات الكيميائية للملاط: الملدنات، المسرعات، والمواد المانعة للنزف,"Chemical Admixtures for Grout: Superplasticizers, Accelerators, and Anti‑Bleed Agents"
geotech-encyclopedia-08,pozzolanic-materials-in-grout-mixes-fly-ash-and-silica-fume,"استخدام المواد البوزولانية (Fly Ash, Silica Fume) في خلطات الحقن",Pozzolanic Materials in Grout Mixes: Fly Ash and Silica Fume
geotech-encyclopedia-09,grout-bleeding-and-segregation-risks-and-practical-mitigation,نزف الملاط (Bleeding) والانفصال الحبيبي: المخاطر والحلول,Grout Bleeding and Segregation: Risks and Practical Mitigation
geotech-encyclopedia-10,sulfate-resistant-cement-an-engineering-necessity-in-gulf-soils,الإسمنت المقاوم للكبريتات: ضرورة هندسية في تربة الخليج العربي,Sulfate‑Resistant Cement: An Engineering Necessity in Gulf Soils
geotech-encyclopedia-11,eco-friendly-grouting-materials-modern-trends-and-considerations,المواد الصديقة للبيئة في حقن التربة: التوجهات الحديثة,Eco‑Friendly Grouting Materials: Modern Trends and Considerations
geotech-encyclopedia-12,laboratory-testing-of-grouting-materials-before-and-during-works,اختبارات المختبر لمواد الحقن: قبل وأثناء التنفيذ,Laboratory Testing of Grouting Materials: Before and During Works
geotech-encyclopedia-13,grout-stability-stable-vs-unstable-mixes-and-why-it-matters,استقرار الملاط (Grout Stability): الفرق بين الملاط المستقر وغير المستقر,Grout Stability: Stable vs Unstable Mixes and Why It Matters
geotech-encyclopedia-14,selecting-grout-type-using-soil-gradation-d10-d15-criteria,اختيار مادة الحقن بناءً على قطر حبيبات التربة (D10/D15),Selecting Grout Type Using Soil Gradation (D10/D15) Criteria
geotech-encyclopedia-15,back-of-envelope-grout-spread-calculations-radius-of-influence-and-common,حسابات تقريبية لانتشار الحقن: نصف قطر تأثير ولماذا يخطئ كثيرًا,Back‑of‑Envelope Grout Spread Calculations: Radius of Influence and Common Pitfalls
geotech-encyclopedia-16,differential-settlement-how-to-read-the-structural-nightmare,الهبوط التفاضلي (Differential Settlement): الكابوس الإنشائي وكيفية قراءته,Differential Settlement: How to Read the ‘Structural Nightmare’
geotech-encyclopedia-17,crack-pattern-interpretation-structural-cracks-or-settlement-induced,تحليل أنماط التشققات: هل هي إنشائية أم ناتجة عن هبوط التربة؟,Crack Pattern Interpretation: Structural Cracks or Settlement‑Induced?
geotech-encyclopedia-18,how-water-leaks-from-tanks-and-utilities-undermine-foundations,تأثير تسربات المياه (الخزانات والشبكات) على استقرار الأساسات,How Water Leaks from Tanks and Utilities Undermine Foundations
geotech-encyclopedia-19,expansive-soils-key-problems-and-grouting-based-remedies,التربة الانتفاخية (Expansive Soil): مشاكلها وحلول الحقن المقترحة,Expansive Soils: Key Problems and Grouting‑Based Remedies
geotech-encyclopedia-20,collapsible-soils-wetting-risks-and-treatment-approaches,التربة الانهيارية (Collapsible Soil): مخاطر الغمر بالماء وكيفية معالجتها,Collapsible Soils: Wetting Risks and Treatment Approaches
geotech-encyclopedia-21,voids-beneath-floor-slabs-causes-risks-and-repair-options,الفراغات تحت بلاطات الأرضيات: الأسباب، المخاطر، وطرق المعالجة,"Voids Beneath Floor Slabs: Causes, Risks, and Repair Options"
geotech-encyclopedia-22,impact-of-nearby-construction-on-existing-building-stability,تأثير الأعمال الإنشائية المجاورة على استقرار المباني القائمة,Impact of Nearby Construction on Existing Building Stability
geotech-encyclopedia-23,natural-sinkholes-formation-mechanisms-and-detection,التكهفات الطبيعية (Sinkholes): كيف تتكون وكيف نكتشفها؟,Natural Sinkholes: Formation Mechanisms and Detection
geotech-encyclopedia-24,how-moisture-changes-the-behavior-of-clayey-and-sandy-soils,دور الرطوبة في تغيير خصائص التربة الطينية والرملية,How Moisture Changes the Behavior of Clayey and Sandy Soils
geotech-encyclopedia-25,void-detection-methods-compared-accuracy-and-signal-characteristics,تقنيات كشف الفراغات: مقارنة دقة وإشارات كل تقنية,Void Detection Methods Compared: Accuracy and Signal Characteristics
geotech-encyclopedia-26,ground-penetrating-radar-gpr-how-it-works-where-it-excels-and-where-it-misleads,رادار الاختراق الأرضي (GPR): كيف يعمل، أين ينجح، وأين يخدعنا؟,"Ground‑Penetrating Radar (GPR): How It Works, Where It Excels, and Where It Misleads"
geotech-encyclopedia-27,electrical-resistivity-tomography-ert-mapping-resistivity-to-detect-water-and,المسح الكهربائي (ERT): رسم خرائط المقاومية للكشف عن المياه والفراغات,Electrical Resistivity Tomography (ERT): Mapping Resistivity to Detect Water and Voids
geotech-encyclopedia-28,microgravity-surveys-high-sensitivity-detection-of-deep-cavities,الميكروغرافيتي (Microgravity): التقنية الأدق لكشف التكهفات العميقة,Microgravity Surveys: High‑Sensitivity Detection of Deep Cavities
geotech-encyclopedia-29,seismic-surveys-using-wave-velocity-to-assess-soil-stiffness,المسح السيزمي: قياس سرعة الموجات لتقييم صلابة التربة,Seismic Surveys: Using Wave Velocity to Assess Soil Stiffness
geotech-encyclopedia-30,integrating-geophysical-and-geotechnical-data-for-full-site-characterization,دمج البيانات الجيوفيزيائية والجيوتقنية: الوصول إلى صورة كاملة للموقع,Integrating Geophysical and Geotechnical Data for Full Site Characterization
geotech-encyclopedia-31,accuracy-limits-in-geophysical-instruments-setting-realistic-expectations,حدود الدقة في الأجهزة الجيوفيزيائية: إدارة التوقعات,Accuracy Limits in Geophysical Instruments: Setting Realistic Expectations
geotech-encyclopedia-32,post-survey-verification-boreholes-how-to-decide-where-to-drill,التحقق بالثقوب الاستكشافية بعد المسح: كيفية أخذ عينة قرار,Post‑Survey Verification Boreholes: How to Decide Where to Drill
geotech-encyclopedia-33,borehole-cameras-visual-inspection-of-subsurface-voids,استخدام الكاميرات داخل الثقوب (Borehole Camera) لمعاينة الفراغات,Borehole Cameras: Visual Inspection of Subsurface Voids
geotech-encyclopedia-34,interpreting-anomalies-in-survey-reports-real-features-vs-technical-artifacts,تفسير الشذوذ (Anomalies) في تقارير المسح: بين الواقع والخطأ التقني,Interpreting Anomalies in Survey Reports: Real Features vs Technical Artifacts
geotech-encyclopedia-35,grouting-equipment-from-hand-pumps-to-computerized-systems,معدات الحقن: من المضخات اليدوية إلى الأنظمة المحوسبة,Grouting Equipment: From Hand Pumps to Computerized Systems
geotech-encyclopedia-36,designing-an-injection-grid-spacing-depth-and-sequencing,تصميم شبكة نقاط الحقن: المسافات، الأعماق، والتسلسل,"Designing an Injection Grid: Spacing, Depth, and Sequencing"
